"Sample ID","Original Depth (m)","AP_comp Depth (cm)","Age (kyr)","Sedimentation Rate (cm/kyr)","Dry Bulk Density (g/cm3)","C. wuellerstorfi d18O (‰ vs. PDB)","C. wuellerstorfi d18O (‰ vs. PDB) + 0.64‰","C. wuellerstorfi d13C (‰ vs. PDB)","IRD Concentration (grains/g)","IRD Apparent MAR (grains/cm2/kyr)"
"MD02-2588-927.5",9.275,927.5,310.34,3.781,0.8357,3.43,4.07,0.11,,
"MD02-2588-928.5",9.285,928.5,310.6,3.774,0.8358,3.46,4.1,-0.06,0.68,2.14475883056615
"MD02-2588-929.5",9.295,929.5,310.87,3.802,0.8359,3.48,4.12,0.09,,
"MD02-2588-930.5",9.305,930.5,311.13,3.795,0.836,3.44,4.08,0.07,0,0
"MD02-2588-931.5",9.315,931.5,311.4,3.781,0.8361,3.41,4.05,0.21,,
"MD02-2588-932.5",9.325,932.5,311.66,3.802,0.8362,3.42,4.06,0.21,1.07,3.40221680370752
"MD02-2588-933.5",9.335,933.5,311.92,3.781,0.8364,3.33,3.97,0.09,,
"MD02-2588-934.5",9.345,934.5,312.19,3.759,0.8365,3.4,4.04,0.06,0.59,1.85529668261265
"MD02-2588-935.5",9.355,935.5,312.45,3.788,0.8366,3.4,4.04,0.01,,
"MD02-2588-936.5",9.365,936.5,312.72,3.745,0.8367,3.51,4.15,0.11,1.08,3.38426507528023
"MD02-2588-937.5",9.375,937.5,312.99,3.731,0.8368,3.45,4.09,0.23,,
"MD02-2588-938.5",9.385,938.5,313.25,3.752,0.8369,3.4,4.04,0.15,1.3,4.0823172317072
"MD02-2588-939.5",9.395,939.5,313.52,3.745,0.837,3.37,4.01,0.2,,
"MD02-2588-940.5",9.405,940.5,313.79,3.724,0.8371,3.33,3.97,0.04,0.16,0.498821179888236
"MD02-2588-941.5",9.415,941.5,314.06,3.711,0.8372,3.28,3.92,0.03,,
"MD02-2588-942.5",9.425,942.5,314.33,3.656,0.8373,3.4,4.04,0.03,,
"MD02-2588-943.5",9.435,943.5,314.61,3.656,0.8374,3.43,4.07,0.07,,
"MD02-2588-944.5",9.445,944.5,314.88,3.704,0.8375,3.38,4.02,0.23,0.3,0.930557880555423
"MD02-2588-945.5",9.455,945.5,315.15,3.676,0.8376,3.31,3.95,0.16,,
"MD02-2588-946.5",9.465,946.5,315.42,3.683,0.8377,3.26,3.9,0.14,,
"MD02-2588-947.5",9.475,947.5,315.69,3.697,0.8378,3.32,3.96,0.07,,
"MD02-2588-948.5",9.485,948.5,315.96,3.67,0.8379,3.32,3.96,0.26,,
"MD02-2588-949.5",9.495,949.5,316.24,3.656,0.838,3.22,3.86,0.22,,
"MD02-2588-950.5",9.505,950.5,316.51,3.643,0.8381,3.2,3.84,0.08,,
"MD02-2588-951.5",9.515,951.5,316.79,3.643,0.8382,3.34,3.98,0,,
"MD02-2588-952.5",9.525,952.5,317.06,3.663,0.8383,3.33,3.97,0.17,0.21,0.644872932692384
"MD02-2588-953.5",9.535,953.5,317.33,3.636,0.8384,3.32,3.96,0.05,,
"MD02-2588-954.5",9.545,954.5,317.61,3.623,0.8385,3.28,3.92,0.25,,
"MD02-2588-955.5",9.555,955.5,317.89,3.617,0.8386,3.28,3.92,-0.08,,
"MD02-2588-956.5",9.565,956.5,318.16,3.597,0.8387,3.32,3.96,-0.02,,
"MD02-2588-957.5",9.575,957.5,318.44,3.63,0.8389,3.33,3.97,0.21,,
"MD02-2588-958.5",9.585,958.5,318.71,3.643,0.839,3.27,3.91,-0.07,,
"MD02-2588-959.5",9.595,959.5,318.99,3.61,0.8391,3.37,4.01,-0.13,,
"MD02-2588-960.5",9.605,960.5,319.27,3.597,0.8392,3.18,3.82,0.01,0.56,1.69040168273369
"MD02-2588-961.5",9.615,961.5,319.55,3.591,0.8393,3.33,3.97,0.15,,
"MD02-2588-962.5",9.625,962.5,319.83,3.604,0.8394,3.2,3.84,0.14,,
"MD02-2588-963.5",9.635,963.5,320.1,3.636,0.8395,3.33,3.97,0.19,,
"MD02-2588-964.5",9.645,964.5,320.38,3.623,0.8396,3.35,3.99,0.14,,
"MD02-2588-965.5",9.655,965.5,320.65,3.591,0.8397,3.18,3.82,-0.06,,
"MD02-2588-966.5",9.665,966.5,320.93,3.61,0.8398,3.14,3.78,0.06,,
"MD02-2588-967.5",9.675,967.5,321.21,3.623,0.8399,3.44,4.08,-0.2,,
"MD02-2588-968.5",9.685,968.5,321.48,3.617,0.84,3.38,4.02,0.69,0,0
"MD02-2588-969.5",9.695,969.5,321.76,3.604,0.8401,3.3,3.94,0.2,,
"MD02-2588-970.5",9.705,970.5,322.04,3.565,0.8402,3.24,3.88,0.03,,
"MD02-2588-971.5",9.715,971.5,322.32,3.571,0.8403,3.35,3.99,0.13,,
"MD02-2588-972.5",9.725,972.5,322.6,3.604,0.8404,3.2,3.84,0.06,,
"MD02-2588-973.5",9.735,973.5,322.88,3.597,0.8405,3.14,3.78,0.14,,
"MD02-2588-974.5",9.745,974.5,323.16,3.597,0.8406,3.12,3.76,0.12,,
"MD02-2588-975.5",9.755,975.5,323.43,3.604,0.8407,3.06,3.7,0.47,,
"MD02-2588-976.5",9.765,976.5,323.71,3.617,0.8408,2.99,3.63,0.06,0,0
"MD02-2588-977.5",9.775,977.5,323.99,3.623,0.8409,2.86,3.5,0.81,,
"MD02-2588-978.5",9.785,978.5,324.26,3.597,0.841,2.92,3.56,0.69,,
"MD02-2588-979.5",9.795,979.5,324.54,3.591,0.8411,2.8,3.44,0.14,,
"MD02-2588-980.5",9.805,980.5,324.82,3.584,0.8412,2.84,3.48,0.48,,
"MD02-2588-981.5",9.815,981.5,325.1,3.565,0.8413,2.82,3.46,0.18,,
"MD02-2588-982.5",9.825,982.5,325.38,3.552,0.8414,2.8,3.44,0.15,,
"MD02-2588-983.5",9.835,983.5,325.66,3.565,0.8415,2.89,3.53,0.66,,
"MD02-2588-984.5",9.845,984.5,325.94,3.571,0.8416,2.87,3.51,0.21,0.39,1.17226658598226
"MD02-2588-985.5",9.855,985.5,326.22,3.559,0.8417,3.05,3.69,0.02,,
"MD02-2588-986.5",9.865,986.5,326.5,3.571,0.8418,2.72,3.36,0.14,,
"MD02-2588-987.5",9.875,987.5,326.78,3.571,0.8419,2.82,3.46,0.22,,
"MD02-2588-988.5",9.885,988.5,327.06,3.61,0.842,2.73,3.37,-0.02,,
"MD02-2588-989.5",9.895,989.5,327.34,3.584,0.8421,2.79,3.43,0.26,,
"MD02-2588-990.5",9.905,990.5,327.62,3.534,0.8422,2.76,3.4,0.33,,
"MD02-2588-991.5",9.915,991.5,327.9,3.565,0.8423,2.85,3.49,0.22,,
"MD02-2588-992.5",9.925,992.5,328.18,3.571,0.8424,2.93,3.57,-0.05,,
"MD02-2588-993.5",9.935,993.5,328.46,3.584,0.8425,2.69,3.33,0,0.21,0.634171572849471
"MD02-2588-994.5",9.945,994.5,328.74,3.571,0.8426,2.85,3.49,-0.03,,
"MD02-2588-995.5",9.955,995.5,329.02,3.552,0.8427,2.73,3.37,0.11,,
"MD02-2588-996.5",9.965,996.5,329.31,3.565,0.8428,2.73,3.37,-0.23,,
"MD02-2588-997.5",9.975,997.5,329.59,3.552,0.8429,2.8,3.44,0.36,,
"MD02-2588-998.5",9.985,998.5,329.87,3.515,0.843,2.7,3.34,0.19,,
"MD02-2588-999.5",9.995,999.5,330.16,3.503,0.8431,2.74,3.38,0.08,,
"MD02-2588-1000.5",10.005,1000.5,330.44,3.527,0.8433,2.67,3.31,0.13,0,0
"MD02-2588-1001.5",10.015,1001.5,330.72,3.534,0.8434,2.79,3.43,0.12,,
"MD02-2588-1002.5",10.025,1002.5,331.01,3.54,0.8435,2.75,3.39,0.07,,
"MD02-2588-1003.5",10.035,1003.5,331.29,3.546,0.8436,2.87,3.51,-0.09,,
"MD02-2588-1004.5",10.045,1004.5,331.57,3.515,0.8437,2.89,3.53,0.05,,
"MD02-2588-1005.5",10.055,1005.5,331.86,3.503,0.8438,2.6,3.24,0.06,,
"MD02-2588-1006.5",10.065,1006.5,332.14,3.515,0.8439,2.91,3.55,-0.07,,
"MD02-2588-1007.5",10.075,1007.5,332.43,3.515,0.844,3.03,3.67,0.05,,
"MD02-2588-1008.5",10.085,1008.5,332.71,3.534,0.8441,2.96,3.6,0.03,0,0
"MD02-2588-1009.5",10.095,1009.5,332.99,3.534,0.8442,2.78,3.42,0.14,,
"MD02-2588-1010.5",10.105,1010.5,333.28,3.515,0.8443,2.58,3.22,-0.2,,
"MD02-2588-1011.5",10.115,1011.5,333.56,3.521,0.8444,3.05,3.69,0.07,,
"MD02-2588-1012.5",10.125,1012.5,333.85,3.497,0.8445,2.87,3.51,-0.02,,
"MD02-2588-1013.5",10.135,1013.5,334.13,3.497,0.8446,3.34,3.98,0.01,,
"MD02-2588-1014.5",10.145,1014.5,334.42,3.521,0.8447,3.24,3.88,0.07,,
"MD02-2588-1015.5",10.155,1015.5,334.7,3.534,0.8448,2.87,3.51,0.07,,
"MD02-2588-1016.5",10.165,1016.5,334.98,3.559,0.8449,3.25,3.89,-0.01,0.89,2.6758858217971
"MD02-2588-1017.5",10.175,1017.5,335.26,3.591,0.845,3.32,3.96,-0.03,,
"MD02-2588-1018.5",10.185,1018.5,335.53,3.65,0.8451,3.33,3.97,-0.09,,
"MD02-2588-1019.5",10.195,1019.5,335.8,3.724,0.8452,3.71,4.35,-0.09,,
"MD02-2588-1020.5",10.205,1020.5,336.07,3.781,0.8453,3.86,4.5,-0.29,,
"MD02-2588-1021.5",10.215,1021.5,336.33,3.846,0.8454,3.49,4.13,-0.19,,
"MD02-2588-1022.5",10.225,1022.5,336.58,3.96,0.8455,3.51,4.15,-0.08,,
"MD02-2588-1023.5",10.235,1023.5,336.82,4.141,0.8456,3.6,4.24,-0.19,,
"MD02-2588-1024.5",10.245,1024.5,337.06,4.184,0.8457,3.77,4.41,-0.41,0.61,2.15837012730096
"MD02-2588-1025.5",10.255,1025.5,337.3,4.246,0.8458,4.04,4.68,-0.34,,
"MD02-2588-1026.5",10.265,1026.5,337.52,4.425,0.8459,3.76,4.4,-0.18,,
"MD02-2588-1027.5",10.275,1027.5,337.74,4.535,0.846,3.97,4.61,-0.32,,
"361-U1475E-2H-2, 61-63",9.158,1031.3,338.54,4.732,0.8988,3.94,4.58,-0.25,2.49,10.5890513261108
"361-U1475E-2H-2, 65-67",9.198,1035.3,339.38,4.781,0.9524,3.69,4.33,-0.04,5.44,24.7700423090712
"361-U1475E-2H-2, 69-71",9.238,1039.3,340.21,4.825,0.9535,4.17,4.81,-0.44,7.05,32.4357828709308
"361-U1475E-2H-2, 73-75",9.278,1043.3,341.05,4.775,0.8957,4.47,5.11,-0.3,6.05,25.8761179419827
"361-U1475E-2H-2, 77-79",9.318,1047.3,341.88,4.797,0.8688,4.44,5.08,-0.21,14.54,60.6041429599426
"361-U1475E-2H-2, 81-83",9.358,1051.3,342.7,4.879,0.8329,4.56,5.2,-0.53,29.02,117.932069285194
"361-U1475E-2H-2, 85-87",9.398,1055.3,343.52,4.878,0.836,4.51,5.15,-0.18,35.13,143.261853658538
"361-U1475E-2H-2, 89-91",9.438,1059.3,344.34,4.912,0.8064,4.3,4.94,0.03,18.58,73.6026290065085
"361-U1475E-2H-2, 93-95",9.478,1063.3,345.15,4.92,0.91,4.28,4.92,-0.4,25.29,113.229520295204
"361-U1475E-2H-2, 97-99",9.518,1067.3,345.96,4.952,0.8901,4.23,4.87,-0.01,8.54,37.641123050258
"361-U1475E-2H-2, 101-103",9.558,1071.3,346.76,4.976,0.885,4.17,4.81,-0.19,6.74,29.6798109217586
"361-U1475E-2H-2, 105-107",9.598,1075.3,347.56,5.011,0.911,4.19,4.83,-0.22,12.14,55.415457847928
"361-U1475E-2H-2, 109-111",9.638,1079.3,348.36,4.983,0.9202,4.15,4.79,-0.46,12.16,55.7530244145458
"361-U1475E-2H-2, 113-115",9.678,1083.3,349.16,5.011,0.9238,4.18,4.82,-0.4,10.31,47.729280881984
"361-U1475E-2H-2, 117-119",9.718,1087.3,349.95,5.049,0.8791,4.18,4.82,-0.68,19.78,87.7899462324864
"361-U1475E-2H-2, 121-123",9.758,1091.3,350.74,5.047,0.8544,4.24,4.88,-0.39,8.4,36.2227078864346
"361-U1475E-2H-2, 125-127",9.798,1095.3,351.54,5.006,0.7968,4.109,4.75,-0.476,3.18,12.6856130162707
"361-U1475E-2H-2, 129-131",9.838,1099.3,352.34,5.046,0.8335,4.3,4.94,-0.34,16.57,69.6897368487477
"361-U1475E-2H-2, 133-135",9.878,1103.3,353.13,5.066,0.8334,4.25,4.89,-0.21,11.37,48.0005227963522
"361-U1475E-2H-2, 137-139",9.918,1107.3,353.92,5.018,0.8266,4.34,4.98,-0.19,11.77,48.8247537322795
"361-U1475E-2H-2, 141-143",9.958,1111.3,354.71,5.08,0.8333,4.4,5.04,-0.38,21.95,92.920365760726
"361-U1475E-2H-2, 145-147",9.998,1115.3,355.5,5.038,0.7565,4.18,4.82,-0.2,8.51,32.437260108328
"361-U1475E-2H-3, 0-2",10.048,1120.3,356.5,5.031,0.7581,4.35,4.99,-0.31,22.64,86.3513319164165
"361-U1475E-2H-3, 4-6",10.088,1124.3,357.28,5.097,0.7749,4.37,5.01,-0.22,51.35,202.8143709132
"361-U1475E-2H-3, 8-10",10.128,1128.3,358.08,5.021,0.7918,4.17,4.81,-0.35,10.89,43.289356093888
"361-U1475E-2H-3, 12-14",10.168,1132.3,358.87,5.072,0.8086,4.16,4.8,-0.31,11.17,45.806164203524
"361-U1475E-2H-3, 16-18",10.208,1136.3,359.66,5.059,0.8117,4.27,4.91,-0.12,13.65,56.0487264449211
"361-U1475E-2H-3, 20-22",10.248,1140.3,360.45,5.086,0.7962,4.15,4.79,-0.3,6.56,26.5683336724309
"361-U1475E-2H-3, 24-26",10.288,1144.3,361.23,5.077,0.8649,4.06,4.7,-0.24,20.74,91.0696321868282
"361-U1475E-2H-3, 28-30",10.328,1148.3,362.02,5.092,0.8993,3.95,4.59,-0.25,8.85,40.5243482688368
"361-U1475E-2H-3, 32-34",10.368,1152.3,362.81,5.045,0.8612,3.99,4.63,-0.37,17.21,74.7827467204844
"361-U1475E-2H-3, 36-38",10.408,1156.3,363.6,5.085,0.8488,3.79,4.43,-0.15,15.87,68.4996491228104
"361-U1475E-2H-3, 40-42",10.448,1160.3,364.39,5.04,0.8892,3.91,4.55,-0.01,7.05,31.5956552419344
"361-U1475E-2H-3, 44-46",10.488,1164.3,365.19,5.018,0.8895,3.87,4.51,0.1,7.41,33.0766187429431
"361-U1475E-2H-3, 48-50",10.528,1168.3,365.98,5.069,0.8794,3.84,4.48,-0.1,5.4,24.0706830566462
"361-U1475E-2H-3, 52-54",10.568,1172.3,366.76,5.115,0.8963,3.78,4.42,0.01,7.1,32.5517749360621
"361-U1475E-2H-3, 56-58",10.608,1176.3,367.54,5.099,0.9038,3.96,4.6,-0.11,10.1,46.551677715451
"361-U1475E-2H-3, 60-62",10.648,1180.3,368.34,5.035,0.898,3.742,4.38,-0.015,15.77,71.2942942731304
"361-U1475E-2H-3, 64-66",10.688,1184.3,369.13,5.065,0.8774,3.98,4.62,0.04,38.89,172.843568950226
"361-U1475E-2H-3, 68-70",10.728,1188.3,369.91,5.096,0.8809,3.91,4.55,0.16,51.06,229.196306751602
"361-U1475E-2H-3, 72-74",10.768,1192.3,370.7,5.12,0.8867,3.94,4.58,0.09,71.11,322.804632279539
"361-U1475E-2H-3, 76-78",10.808,1196.3,371.48,5.105,0.8862,3.93,4.57,0.15,129.4,585.34509443591
"361-U1475E-2H-3, 80-82",10.848,1200.3,372.27,5.044,0.8858,3.78,4.42,0.15,8.38,37.4426431273641
"361-U1475E-2H-3, 84-86",10.888,1204.3,373.06,5.082,0.8801,3.69,4.33,0.21,2.73,12.2105328420792
"361-U1475E-2H-3, 88-90",10.928,1208.3,373.84,5.113,0.8978,3.73,4.37,0.47,8.38,38.468945417358
"361-U1475E-2H-3, 92-94",10.968,1212.3,374.63,5.075,0.885,3.68,4.32,0.18,6.85,30.7650342552645
"361-U1475E-2H-3, 96-98",11.008,1216.3,375.42,5.052,0.8906,3.47,4.11,0.36,6.46,29.0629835817138
"361-U1475E-2H-3, 100-102",11.048,1220.3,376.21,5.07,0.8746,3.44,4.08,0.42,2.54,11.262276299113
"361-U1475E-2H-3, 104-106",11.088,1224.3,376.99,5.118,0.8726,3.56,4.2,0.4,0,0
"361-U1475E-2H-3, 108-110",11.128,1228.3,377.78,5.09,0.8311,3.57,4.21,0.65,0,0
"361-U1475E-2H-3, 112-114",11.168,1232.3,378.56,5.092,0.8671,3.54,4.18,0.41,3.1,13.6864052953159
"361-U1475E-2H-3, 116-118",11.208,1236.3,379.34,5.135,0.8826,3.42,4.06,0.11,4.48,20.3058056233144
"361-U1475E-2H-3, 120-122",11.248,1240.3,380.12,5.13,0.8941,3.48,4.12,0.45,2.89,13.254715568094
"361-U1475E-2H-3, 124-126",11.288,1244.3,380.9,5.118,0.8904,3.52,4.16,0.31,1.41,6.42509723643833
"361-U1475E-2H-3, 128-130",11.328,1248.3,381.7,5.04,0.8878,3.47,4.11,0.64,4.17,18.6583988912687
"361-U1475E-2H-3, 132-134",11.368,1252.3,382.48,5.085,0.8824,3.47,4.11,0.47,1.35,6.0568958942418
"361-U1475E-2H-3, 136-138",11.408,1256.3,383.27,5.091,0.8857,3.41,4.05,0.25,0,0
"361-U1475E-2H-3, 140-142",11.448,1260.3,384.06,5.087,0.8718,3.42,4.06,0.37,0,0
"361-U1475E-2H-3, 144-146",11.488,1264.3,384.84,5.085,0.8334,3.33,3.97,0.37,3.06,12.9688604118999
"361-U1475E-2H-3, 148-150",11.528,1268.3,385.63,5.051,0.8529,3.32,3.96,0.41,0,0
"361-U1475E-2H-4, 2-4",11.568,1272.3,386.42,5.077,0.8916,3.36,4,0.67,3.5,15.8448599202351
"361-U1475E-2H-4, 6-8",11.608,1276.3,387.21,5.094,0.9024,2.96,3.6,0.94,1.84,8.45893835965386
"361-U1475E-2H-4, 10-12",11.648,1280.3,387.99,5.091,0.8805,3.24,3.88,0.45,0,0
"361-U1475E-2H-4, 14-16",11.688,1284.3,388.78,5.071,0.897,2.95,3.59,0.71,0,0
"361-U1475E-2H-4, 18-20",11.728,1288.3,389.57,5.092,0.8925,2.85,3.49,1.07,0,0
"361-U1475E-2H-4, 22-24",11.768,1292.3,390.36,5.044,0.9028,2.99,3.63,0.99,0,0
"361-U1475E-2H-4, 26-28",11.808,1296.3,391.15,5.04,0.915,2.94,3.58,0.97,0,0
"361-U1475E-2H-4, 30-32",11.848,1300.3,391.95,5.046,0.908,3.41,4.05,0.52,0,0
"361-U1475E-2H-4, 34-36",11.888,1304.3,392.73,5.091,0.9052,2.81,3.45,1.05,0,0
"361-U1475E-2H-4, 38-40",11.928,1308.3,393.53,4.992,0.9161,3.15,3.79,0.62,0,0
"361-U1475E-2H-4, 42-44",11.968,1312.3,394.33,5.033,0.9027,3.2,3.84,0.41,1.38,6.27030879577217
"361-U1475E-2H-4, 46-48",12.008,1316.3,395.12,5.044,0.9218,2.83,3.47,0.99,1.45,6.74204287515805
"361-U1475E-2H-4, 50-52",12.048,1320.3,395.92,5.029,0.8948,2.78,3.42,0.87,1.33,5.98456525018836
"361-U1475E-2H-4, 54-56",12.088,1324.3,396.71,5.072,0.9435,2.72,3.36,0.8,2.7,12.9200152149105
"361-U1475E-2H-4, 58-60",12.128,1328.3,397.5,5.059,0.9307,2.78,3.42,0.78,0,0
"361-U1475E-2H-4, 62-64",12.168,1332.3,398.29,5.07,0.9243,2.77,3.41,0.81,0,0
"361-U1475E-2H-4, 66-68",12.208,1336.3,399.07,5.069,0.9279,2.69,3.33,0.9,0,0
"361-U1475E-2H-4, 70-72",12.248,1340.3,399.86,5.104,0.9242,2.72,3.36,0.91,0,0
"361-U1475E-2H-4, 74-76",12.288,1344.3,400.65,5.081,0.9052,2.7,3.34,0.56,0,0
"361-U1475E-2H-4, 78-80",12.328,1348.3,401.43,5.081,0.8924,2.74,3.38,0.64,0,0
"361-U1475E-2H-4, 82-84",12.368,1352.3,402.22,5.067,0.9012,2.74,3.38,0.84,0,0
"361-U1475E-2H-4, 86-88",12.408,1356.3,403.01,5.063,0.8693,2.75,3.39,0.8,0,0
"361-U1475E-2H-4, 90-92",12.448,1360.3,403.81,5.034,0.9145,2.77,3.41,0.54,1.34,6.16865441731731
"361-U1475E-2H-4, 94-96",12.488,1364.3,404.59,5.081,0.9132,2.77,3.41,0.83,0,0
"361-U1475E-2H-4, 98-100",12.528,1368.3,405.39,5.026,0.918,2.72,3.36,0.58,1.39,6.41296645307231
"361-U1475E-2H-4, 102-104",12.568,1372.3,406.19,5.021,0.9002,2.78,3.42,0.72,0,0
"361-U1475E-2H-4, 106-108",12.608,1376.3,406.98,5.048,0.9116,2.81,3.45,0.65,2.64,12.147997980818
"361-U1475E-2H-4, 110-112",12.648,1380.3,407.77,5.038,0.9008,2.75,3.39,0.39,0,0
"361-U1475E-2H-4, 114-116",12.688,1384.3,408.57,5.033,0.9236,2.85,3.49,0.19,0,0
"361-U1475E-2H-4, 118-120",12.728,1388.3,409.36,5.035,0.9124,2.84,3.48,0.53,0,0
"361-U1475E-2H-4, 122-124",12.768,1392.3,410.16,5.04,0.9058,2.97,3.61,0.49,1.4,6.39201612903205
"361-U1475E-2H-4, 126-128",12.808,1396.3,410.95,5.006,0.9004,2.91,3.55,0.44,0,0
"361-U1475E-2H-4, 130-132",12.848,1400.3,411.76,4.994,0.9199,2.97,3.61,0.49,2.79,12.8179058559119
"361-U1475E-2H-4, 134-136",12.888,1404.3,412.56,4.986,0.917,3.68,4.32,-0.16,1.35,6.17227471020813
"361-U1475E-2H-4, 138-140",12.928,1408.3,413.36,4.97,0.8902,,,-0.03,0,0
"361-U1475E-2H-4, 142-144",12.968,1412.3,414.17,4.966,0.8568,2.97,3.61,0.65,,
"361-U1475E-2H-4, 146-148",13.008,1416.3,414.98,4.903,0.8,3.52,4.16,0.28,3.11,12.1981831106754
"361-U1475E-2H-5, 0-2",13.048,1420.3,415.8,4.897,0.828,2.99,3.63,0.67,0,0
"361-U1475E-2H-5, 4-6",13.088,1424.3,416.6,4.979,0.8695,3.11,3.75,0.43,2.57,11.1274313456993
"361-U1475E-2H-5, 8-10",13.128,1428.3,417.43,4.846,0.8878,3.22,3.86,0.66,1.53,6.58216935190767
"361-U1475E-2H-5, 12-14",13.168,1432.3,418.25,4.895,0.9067,3.06,3.7,0.62,0,0
"361-U1475E-2H-5, 16-18",13.208,1436.3,419.06,4.891,0.9045,3.41,4.05,0.51,0,0
"361-U1475C-2H-3, 58-60",13.253,1440.8,420,4.82,0.9358,3.31,3.95,0.56,,
"361-U1475C-2H-3, 62-64",13.293,1444.8,420.84,4.774,0.9232,3.78,4.42,-0.02,0,0
"361-U1475C-2H-3, 66-68",13.333,1448.8,421.7,4.635,0.9298,3.34,3.98,0.45,1.4,6.03372421784474
"361-U1475C-2H-3, 70-72",13.373,1452.8,422.59,4.467,0.9203,3.42,4.06,0.38,0,0
"361-U1475C-2H-3, 74-76",13.413,1456.8,423.54,4.214,0.9059,3.2,3.84,0.25,0,0
"361-U1475C-2H-3, 78-80",13.453,1460.8,424.54,4.003,0.9179,3.63,4.27,0.23,0,0
"361-U1475C-2H-3, 82-84",13.493,1464.8,425.59,3.804,0.9105,3.71,4.35,-0.22,5.36,18.5636637504753
"361-U1475C-2H-3, 86-88",13.533,1468.8,426.68,3.698,0.8797,3.96,4.6,0.08,2.84,9.23966272189365
"361-U1475C-2H-3, 90-92",13.573,1472.8,427.77,3.648,0.9242,4.44,5.08,-0.32,2.96,9.97816377895341
"361-U1475C-2H-3, 94-96",13.613,1476.8,428.88,3.626,0.9386,4.45,5.09,-0.09,0,0
"361-U1475C-2H-3, 98-100",13.653,1480.8,429.97,3.652,0.9281,4.23,4.87,0.14,5.8,19.6598392987576
"361-U1475C-2H-3, 102-104",13.693,1484.8,431.07,3.65,0.9287,4.71,5.35,-0.41,2.98,10.1025208979741
"361-U1475C-2H-3, 106-108",13.733,1488.8,432.16,3.642,0.8966,4.7,5.34,-0.25,25.33,82.7166811145539
"361-U1475C-2H-3, 110-112",13.773,1492.8,433.24,3.718,0.8965,4.34,4.98,-0.18,20.13,67.1014969325144
"361-U1475C-2H-3, 114-116",13.813,1496.8,434.32,3.705,0.8908,4.85,5.49,-0.54,11.42,37.6898080770646
"361-U1475C-2H-3, 118-120",13.853,1500.8,435.4,3.713,0.8827,4.55,5.19,-0.31,17.22,56.4337790978305
"361-U1475C-2H-3, 122-124",13.893,1504.8,436.48,3.694,0.8707,4.76,5.4,-0.33,17.43,56.0644610269631
"361-U1475C-2H-3, 126-128",13.933,1508.8,437.56,3.696,0.8574,4.68,5.32,-0.52,49.52,156.926509702466
"361-U1475C-2H-3, 130-132",13.973,1512.8,438.64,3.725,0.8694,4.69,5.33,-0.4,79.21,256.540668280857
"361-U1475C-2H-3, 134-136",14.013,1516.8,439.72,3.701,0.8938,5.06,5.7,-0.22,46.98,155.399129533685
"361-U1475C-2H-3, 138-140",14.053,1520.8,440.79,3.72,0.879,4.58,5.22,-0.38,32.92,107.646440476185
"361-U1475C-2H-3, 142-144",14.093,1524.8,441.86,3.733,0.8457,4.66,5.3,-0.3,31.75,100.225233296012
"361-U1475C-2H-3, 146-148",14.133,1528.8,442.93,3.752,0.8251,4.57,5.21,-0.11,15.68,48.539367888343
"361-U1475C-2H-4, 0-2",14.173,1532.8,443.99,3.759,0.8511,4.51,5.15,-0.31,10.83,34.6517553191482
"361-U1475C-2H-4, 4-6",14.213,1536.8,445.04,3.816,0.8771,4.34,4.98,-0.07,11.28,37.7529479107037
"361-U1475C-2H-4, 8-10",14.253,1540.8,446.1,3.788,0.9311,3.97,4.61,0.33,5.93,20.9149303030306
"361-U1475C-2H-4, 12-14",14.293,1544.8,447.14,3.829,0.9419,4.29,4.93,-0.22,6.53,23.551508328548
"361-U1475C-2H-4, 16-18",14.333,1548.8,448.18,3.869,0.9316,4.22,4.86,-0.22,11.03,39.7583594505713
"361-U1475C-2H-4, 20-22",14.373,1552.8,449.21,3.869,0.9114,4.22,4.86,-0.18,4.86,17.1383401044683
"361-U1475C-2H-4, 24-26",14.413,1556.8,450.23,3.93,0.9405,4.22,4.86,0.04,19.86,73.4082420907823
"361-U1475C-2H-4, 28-30",14.453,1560.8,451.25,3.918,0.9336,4.2,4.84,-0.36,23.27,85.1251614420056
"361-U1475C-2H-4, 32-34",14.493,1564.8,452.27,3.918,0.9312,4.15,4.79,-0.23,14.4,52.5339079334008
"361-U1475C-2H-4, 36-38",14.533,1568.8,453.28,3.953,0.92,3.96,4.6,0.15,17.95,65.2698893280632
"361-U1475C-2H-4, 40-42",14.573,1572.8,454.3,3.939,0.9211,4.3,4.94,-0.32,23.6,85.6143678613622
"361-U1475C-2H-4, 44-46",14.613,1576.8,455.32,3.926,0.9492,4.2,4.84,-0.17,28.9,107.707247742442
"361-U1475C-2H-4, 48-50",14.653,1580.8,456.33,3.958,0.9347,4.24,4.88,-0.05,44.36,164.110052641993
"361-U1475C-2H-4, 52-54",14.693,1584.8,457.34,3.932,0.9498,4.15,4.79,-0.14,79.82,298.111848997247
"361-U1475C-2H-4, 56-58",14.733,1588.8,458.37,3.918,0.9314,4.25,4.89,-0.12,60.41,220.468094043885
"361-U1475C-2H-4, 60-62",14.773,1592.8,459.38,3.938,0.9064,3.81,4.45,0.16,4.94,17.6311021854704
"361-U1475C-2H-4, 64-66",14.813,1596.8,460.4,3.908,0.9287,3.76,4.4,-0.04,0,0
"361-U1475C-2H-4, 68-70",14.853,1600.8,461.43,3.886,0.9454,4.14,4.78,-0.25,5.03,18.4789710510976
